STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,2/27/2018,0,,,39
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,2/28/2018,0,,,36
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/1/2018,0,,,49
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/2/2018,0.2,,,46
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/3/2018,0.93,,,37
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/4/2018,0,,,35
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/5/2018,0,,,40
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/6/2018,0,,,47
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/7/2018,0,,,54
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/8/2018,0,,,52
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/9/2018,0,,,54
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/10/2018,0,,,58
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/11/2018,0,,,58
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/12/2018,0,,,62
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/13/2018,1.59,,,50
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/14/2018,0.41,,,42
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/15/2018,0.19,,,47
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/16/2018,0.12,,,41
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/17/2018,0.02,,,35
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/18/2018,0,,,43
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/19/2018,0,,,51
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/20/2018,0.03,,,58
USC00428733,"TIMPANOGOS CAVE, UT US",40.44213,-111.71339,1679.4,3/21/2018,0.83,,,55
